Company,Date,Time,Rocket,Mission,RocketStatus,MissionStatus,Day/Night Launch,Complex ID,Launch Site,Territory,Country
Martin Marietta,3/16/81,13:30:00,Titan III(23)C,DSP-9,Retired,Success,Day,SLC-40,Cape Canaveral AFS,Florida,USA
NASA,4/12/81,12:00:00,Space Shuttle Columbia,STS-1,Retired,Success,Day,LC-39A,Kennedy Space Center,Florida,USA
Martin Marietta,4/24/81,21:32:00,Titan III(34)B Agena-D,Jumpseat 6,Retired,Success,Night,SLC-4W,Vandenberg AFB,California,USA
General Dynamics,5/23/81,22:42:00,Atlas-SLV3D Centaur-D1AR,Intelsat V -501,Retired,Success,Night,SLC-36B,Cape Canaveral AFS,Florida,USA
General Dynamics,6/23/81,10:52:00,Atlas-E/F Star-37S-ISS,NOAA-C,Retired,Success,Day,SLC-3W,Vandenberg AFB,California,USA
General Dynamics,8/6/81,8:16:00,Atlas-SLV3D Centaur-D1AR,FLTSATCOM-5,Retired,Partial Failure,Day,SLC-36A,Cape Canaveral AFS,Florida,USA
Martin Marietta,9/3/81,18:29:00,Titan IIID,KH-11,Retired,Success,Night,SLC-4E,Vandenberg AFB,California,USA
Martin Marietta,10/31/81,9:22:00,Titan III(23)C,OPS-4029 (Vortex),Retired,Success,Day,SLC-40,Cape Canaveral AFS,Florida,USA
NASA,11/12/81,15:09:00,Space Shuttle Columbia,STS-2,Retired,Success,Day,LC-39A,Kennedy Space Center,Florida,USA
General Dynamics,12/15/81,23:35:00,Atlas-SLV3D Centaur-D1AR,Intelsat V -503,Retired,Success,Night,SLC-36B,Cape Canaveral AFS,Florida,USA
General Dynamics,12/19/81,1:10:00,Atlas-E/F SGS-1,GPS-7,Retired,Failure,Night,SLC-3E,Vandenberg AFB,California,USA
US Air Force,1/21/82,19:36:00,Titan III(24)B,OPS 2849,Retired,Success,Night,SLC-4W,Vandenberg AFB,California,USA
General Dynamics,3/5/82,0:23:00,Atlas-SLV3D Centaur-D1AR,Intelsat V -504,Retired,Success,Night,SLC-36A,Cape Canaveral AFS,Florida,USA
Martin Marietta,3/6/82,19:25:00,Titan III(23)C,DSP-10,Retired,Success,Night,SLC-40,Cape Canaveral AFS,Florida,USA
NASA,3/22/82,16:00:00,Space Shuttle Columbia,STS-3,Retired,Success,Day,LC-39A,Kennedy Space Center,Florida,USA
Martin Marietta,5/11/82,18:45:00,Titan IIID,KH-9 & SSF-D-4,Retired,Success,Night,SLC-4E,Vandenberg AFB,California,USA
NASA,6/27/82,16:09:00,Space Shuttle Columbia,STS-4,Retired,Success,Day,LC-39A,Kennedy Space Center,Florida,USA
General Dynamics,9/28/82,23:17:00,Atlas-SLV3D Centaur-D1AR,Intelsat V -505,Retired,Success,Night,SLC-36B,Cape Canaveral AFS,Florida,USA
Martin Marietta,10/30/82,,Titan 34D,DSCS-II-15 + DSCS-III-A1,Retired,Success,,SLC-40,Cape Canaveral AFS,Florida,USA
NASA,11/11/82,12:19:00,Space Shuttle Columbia,STS-5,Retired,Success,Day,LC-39A,Kennedy Space Center,Florida,USA
Martin Marietta,11/17/82,21:22:00,Titan IIID,KH-11,Retired,Success,Night,SLC-4E,Vandenberg AFB,California,USA
General Dynamics,12/21/82,2:38:00,Atlas-E/F Star-37S-ISS,DMSP 5D-2/F6,Retired,Success,Night,SLC-3W,Vandenberg AFB,California,USA
General Dynamics,2/9/83,13:47:00,Atlas-H MSD,NOSS-5,Retired,Success,Day,SLC-3E,Vandenberg AFB,California,USA
General Dynamics,3/28/83,15:52:00,Atlas-E/F Star-37S-ISS,NOAA-E,Retired,Success,Day,SLC-3W,Vandenberg AFB,California,USA
NASA,4/4/83,18:30:00,Space Shuttle Challenger,STS-6,Retired,Success,Night,LC-39A,Kennedy Space Center,Florida,USA
US Air Force,4/17/83,18:45:00,Titan III(24)B,OPS 2925,Retired,Success,Night,SLC-4W,Vandenberg AFB,California,USA
General Dynamics,5/19/83,22:26:00,Atlas-SLV3D Centaur-D1AR,Intelsat V -506,Retired,Success,Night,SLC-36A,Cape Canaveral AFS,Florida,USA
General Dynamics,6/9/83,23:23:00,Atlas-H MSD,NOSS-6,Retired,Success,Night,SLC-3E,Vandenberg AFB,California,USA
NASA,6/18/83,11:33:00,Space Shuttle Challenger,STS-7,Retired,Success,Day,LC-39A,Kennedy Space Center,Florida,USA
Martin Marietta,6/20/83,18:45:00,Titan 34D,OPS-0721 (KH-9),Retired,Success,Night,SLC-4E,Vandenberg AFB,California,USA
General Dynamics,7/14/83,10:21:00,Atlas-E/F SGS-2,GPS-8,Retired,Success,Day,SLC-3W,Vandenberg AFB,California,USA
Martin Marietta,7/31/83,15:41:00,Titan III(34)B Agena-D,Jumpseat 7,Retired,Success,Day,SLC-4W,Vandenberg AFB,California,USA
NASA,9/5/83,7:40:00,Space Shuttle Challenger,STS-8,Retired,Success,Day,LC-39A,Kennedy Space Center,Florida,USA
General Dynamics,11/18/83,6:32:00,Atlas-E/F Star-37S-ISS,DMSP 5D-2/F7,Retired,Success,Day,SLC-3W,Vandenberg AFB,California,USA
NASA,11/28/83,16:00:00,Space Shuttle Columbia,STS-9,Retired,Success,Day,LC-39A,Kennedy Space Center,Florida,USA
Martin Marietta,1/31/84,3:08:00,Titan 34D,OPS-0441 (Vortex),Retired,Success,Night,SLC-40,Cape Canaveral AFS,Florida,USA
NASA,2/3/84,13:00:00,Space Shuttle Challenger,STS-41-B,Retired,Success,Day,LC-39A,Kennedy Space Center,Florida,USA
General Dynamics,2/5/84,18:44:00,Atlas-H MSD,NOSS-7,Retired,Success,Night,SLC-3E,Vandenberg AFB,California,USA
NASA,4/6/84,13:58:00,Space Shuttle Challenger,STS-41-C,Retired,Success,Day,LC-39A,Kennedy Space Center,Florida,USA
Martin Marietta,4/14/84,16:52:00,Titan 34D,DSP-11,Retired,Success,Day,SLC-40,Cape Canaveral AFS,Florida,USA
US Air Force,4/17/84,17:45:00,Titan III(24)B,OPS 8424,Retired,Success,Day,SLC-4W,Vandenberg AFB,California,USA
General Dynamics,6/9/84,23:03:00,Atlas-G Centaur-D1AR,Intelsat V -509,Retired,Failure,Night,SLC-36B,Cape Canaveral AFS,Florida,USA
General Dynamics,6/13/84,11:37:00,Atlas-E/F SGS-2,GPS-9,Retired,Success,Day,SLC-3W,Vandenberg AFB,California,USA
Martin Marietta,6/25/84,18:47:00,Titan 34D,USA-2 (KH-9),Retired,Success,Night,SLC-4E,Vandenberg AFB,California,USA
Martin Marietta,8/28/84,0:00:00,Titan III(34)B Agena-D,Quasar 5,Retired,Success,Night,SLC-4W,Vandenberg AFB,California,USA
NASA,8/30/84,12:41:00,Space Shuttle Discovery,STS-41-D,Retired,Success,Day,LC-39A,Kennedy Space Center,Florida,USA
